,date,open,high,low,close,adjClose,volume
0,2013-01-06,26.55,27.26,26.52,27.22,21.04,3905506
1,2013-01-13,27.1,28.01,27.05,27.94,21.6,2405392
2,2013-01-20,27.83,28.25,27.61,28.01,21.65,1350969
3,2013-01-27,27.89,28.6,27.8,28.57,22.09,2488650
4,2013-02-03,28.6,29.15,28.48,28.99,22.41,2733613
5,2013-02-10,28.77,28.93,28.25,28.57,22.09,3818206
6,2013-02-17,28.61,28.99,28.52,28.85,22.3,1436346
7,2013-02-24,29.0,29.3,28.5,28.88,22.33,1877198
8,2013-03-03,28.98,29.01,28.37,28.65,22.15,1919097
9,2013-03-10,28.6,29.29,28.53,29.07,22.47,1887119
10,2013-03-17,29.02,29.89,28.96,29.84,23.07,1251719
11,2013-03-24,29.38,29.72,29.08,29.33,22.67,2459953
12,2013-03-31,29.4,29.43,28.79,29.36,22.7,1494659
13,2013-04-07,29.39,29.86,28.88,29.2,22.57,3535125
14,2013-04-14,29.29,30.03,29.08,29.88,23.1,1864597
15,2013-04-21,29.86,30.01,28.85,29.28,22.64,2111330
16,2013-04-28,29.25,30.0,29.06,29.93,23.14,3126578
17,2013-05-05,30.21,30.69,30.15,30.5,23.58,2135918
18,2013-05-12,30.43,31.2,30.37,30.73,23.76,1886177
19,2013-05-19,30.6,30.97,30.41,30.72,23.75,2115279
20,2013-05-26,30.66,30.98,30.09,30.55,23.62,2864852
21,2013-06-02,30.53,30.56,29.71,29.73,22.98,1422528
22,2013-06-09,29.45,30.06,29.28,30.03,23.22,7343622
23,2013-06-16,30.01,30.11,29.6,29.86,23.08,3684808
24,2013-06-23,30.22,30.45,28.51,28.69,22.18,3311245
25,2013-06-30,28.07,29.07,28.01,28.65,22.62,3892448
26,2013-07-07,28.78,28.92,28.42,28.73,22.68,1499325
27,2013-07-14,28.89,29.92,28.77,29.78,23.51,2892319
28,2013-07-21,29.85,29.9,29.61,29.85,23.57,1360398
29,2013-07-28,29.92,30.08,29.62,29.79,23.52,1703097
30,2013-08-04,29.67,30.36,29.63,30.34,23.95,3374491
31,2013-08-11,30.27,30.82,30.22,30.71,24.25,2095274
32,2013-08-18,30.56,30.63,30.0,30.41,24.01,1534716
33,2013-08-25,30.38,30.8,30.13,30.77,24.29,1863444
34,2013-09-01,30.71,30.76,29.32,29.35,23.17,1574990
35,2013-09-08,29.8,29.99,29.53,29.95,23.65,1690621
36,2013-09-15,30.0,30.67,30.0,30.52,24.1,1841837
37,2013-09-22,30.85,31.54,30.55,31.36,24.76,1473463
38,2013-09-29,31.45,31.48,31.1,31.4,24.79,1285190
39,2013-10-06,31.29,31.47,31.0,31.03,24.5,1837574
40,2013-10-13,30.8,30.98,30.14,30.96,24.44,1926042
41,2013-10-20,30.82,31.84,30.77,31.83,25.13,1432953
42,2013-10-27,31.74,32.75,31.73,32.72,25.83,1321692
43,2013-11-03,32.63,32.76,31.84,32.05,25.3,2017831
44,2013-11-10,31.93,32.1,31.5,31.83,25.13,2220795
45,2013-11-17,31.93,32.27,31.67,32.26,25.47,1125846
46,2013-11-24,32.52,32.54,31.89,32.25,25.46,1913788
47,2013-12-01,32.27,32.49,32.12,32.28,25.49,1443821
48,2013-12-08,32.23,32.3,31.38,32.08,25.33,2212523
49,2013-12-15,32.02,32.15,31.24,31.28,24.7,1804258
50,2013-12-22,31.56,32.2,31.44,32.1,25.34,1599858
