,date,open,high,low,close,adjClose,volume
0,2013-01-06,107.91,107.96,106.21,106.49,84.69,7419328
1,2013-01-13,106.5,106.98,106.37,106.91,85.02,3512300
2,2013-01-20,107.02,107.34,106.67,107.08,85.16,2930700
3,2013-01-27,106.87,107.35,106.26,106.33,84.56,2145900
4,2013-02-03,105.89,106.43,105.56,105.6,84.09,5752167
5,2013-02-10,105.93,106.45,105.73,106.28,84.63,4230700
6,2013-02-17,106.2,106.31,105.64,106.04,84.44,3370700
7,2013-02-24,106.19,106.5,105.79,106.44,84.76,2462500
8,2013-03-03,106.17,107.38,106.16,107.3,85.55,5579600
9,2013-03-10,107.22,107.26,105.57,105.65,84.23,4345400
10,2013-03-17,105.75,106.32,105.65,106.3,84.75,4849700
11,2013-03-24,106.68,107.11,106.49,106.89,85.22,3696800
12,2013-03-31,106.71,107.66,106.68,107.34,85.58,1867900
13,2013-04-07,107.22,108.7,107.22,108.49,86.61,5938600
14,2013-04-14,108.43,108.51,107.71,108.45,86.58,3666800
15,2013-04-21,108.4,108.81,108.33,108.58,86.69,4258400
16,2013-04-28,108.63,109.04,108.39,108.89,86.93,1835700
17,2013-05-05,108.96,109.17,108.05,108.12,86.43,4167100
18,2013-05-12,108.15,108.24,107.08,107.33,85.79,3209400
19,2013-05-19,107.1,107.62,106.67,106.92,85.47,3126400
20,2013-05-26,107.09,107.44,106.13,106.42,85.07,5067900
21,2013-06-02,106.08,106.15,104.83,105.32,84.19,4962800
22,2013-06-09,104.98,106.33,104.22,104.88,83.95,8927400
23,2013-06-16,104.68,105.64,104.19,105.34,84.32,3759200
24,2013-06-23,105.46,107.59,102.02,102.03,81.67,5948600
25,2013-06-30,101.26,102.66,101.25,102.5,82.04,6485500
26,2013-07-07,102.21,102.65,100.45,100.52,80.57,3669800
27,2013-07-14,100.86,102.31,100.84,101.85,81.63,5439359
28,2013-07-21,101.97,102.85,101.94,102.75,82.36,3150602
29,2013-07-28,102.74,102.86,101.6,102.17,81.89,15861400
30,2013-08-04,102.04,102.1,100.86,101.82,81.72,7194948
31,2013-08-11,101.61,102.15,101.39,102.12,81.96,2503167
32,2013-08-18,102.27,102.27,99.85,100.14,80.37,19158440
33,2013-08-25,99.86,100.27,99.33,100.14,80.37,4805078
34,2013-09-01,100.36,100.97,100.15,100.41,80.59,3315959
35,2013-09-08,99.83,99.92,98.6,99.2,79.74,4377038
36,2013-09-15,99.59,99.82,98.94,99.58,80.05,5508200
37,2013-09-22,100.48,101.49,99.59,100.99,81.18,6050904
38,2013-09-29,101.09,102.15,101.09,101.94,81.94,6640486
39,2013-10-06,102.06,102.28,101.64,101.76,81.92,8334858
40,2013-10-13,102.06,102.08,101.19,101.55,81.75,3278272
41,2013-10-20,101.55,102.46,101.0,102.31,82.36,6424040
42,2013-10-27,102.28,103.31,102.11,103.1,83.0,2231324
43,2013-11-03,103.0,103.4,101.99,102.02,82.26,4201747
44,2013-11-10,102.21,102.42,101.16,101.19,81.59,4699365
45,2013-11-17,101.25,101.99,100.98,101.88,82.15,3372160
46,2013-11-24,101.94,102.27,100.96,101.68,81.98,6587634
47,2013-12-01,101.63,102.08,101.5,101.69,81.99,2041875
48,2013-12-08,101.3,101.44,100.46,100.65,81.29,5122783
49,2013-12-15,100.71,101.23,100.48,100.66,81.29,2839117
50,2013-12-22,100.86,101.04,100.0,100.44,81.12,4754118
51,2013-12-29,100.28,100.38,99.38,99.42,80.42,7437057
52,2014-01-05,99.55,99.74,99.18,99.57,80.55,4680938
53,2014-01-12,99.66,100.67,99.46,100.62,81.39,4458122
54,2014-01-19,100.72,100.97,100.23,100.96,81.67,3033368
55,2014-01-26,100.8,101.75,100.55,101.66,82.24,4723392
56,2014-02-02,101.49,102.28,101.31,102.28,82.74,3990009
57,2014-02-09,101.96,102.67,101.71,102.06,82.7,10017642
58,2014-02-16,101.95,102.14,101.28,101.83,82.52,3367609
59,2014-02-23,101.98,102.31,101.57,101.9,82.57,3158760
60,2014-03-02,101.9,102.64,101.65,102.47,83.03,3589158
61,2014-03-09,102.6,102.83,101.15,101.25,82.18,5415299
62,2014-03-16,101.28,102.61,101.23,102.47,83.17,6357273
63,2014-03-23,102.26,102.33,101.21,101.57,82.44,5516784
64,2014-03-30,101.32,102.19,101.31,101.72,82.56,3757301
65,2014-04-06,101.45,101.76,100.86,101.58,82.6,6382290
66,2014-04-13,101.74,102.65,101.63,102.57,83.4,5743488
67,2014-04-20,102.44,102.74,101.65,101.79,82.77,4073041
68,2014-04-27,101.88,102.34,101.52,102.1,83.02,2544974
69,2014-05-04,102.07,102.74,101.76,102.56,83.56,25052989
70,2014-05-11,102.71,102.98,102.42,102.73,83.7,4402178
71,2014-05-18,102.54,103.89,102.41,103.48,84.3,3798642
72,2014-05-25,103.61,103.76,103.28,103.59,84.39,37137181
73,2014-06-01,103.5,104.53,103.34,103.98,84.71,3620728
74,2014-06-08,103.53,103.68,102.67,102.8,83.89,7689530
75,2014-06-15,102.69,103.06,102.4,102.81,83.9,4910855
76,2014-06-22,102.82,103.16,102.36,102.78,83.88,37773735
77,2014-06-29,102.92,103.73,102.71,103.5,84.46,3941054
78,2014-07-06,103.61,103.68,102.2,102.42,83.74,21520945
79,2014-07-13,102.54,103.65,102.54,103.55,84.66,4053671
80,2014-07-20,103.47,104.05,103.13,103.77,84.84,19446961
81,2014-07-27,103.84,104.05,103.49,103.9,84.95,2729732
82,2014-08-03,103.78,103.95,102.88,103.57,84.84,7954542
83,2014-08-10,103.67,104.57,103.36,104.15,85.31,6124776
84,2014-08-17,104.18,105.23,103.95,104.92,85.94,3778040
85,2014-08-24,104.69,104.81,104.07,104.4,85.52,17668181
86,2014-08-31,104.4,105.04,104.3,104.9,85.93,4654593
87,2014-09-07,104.3,104.31,103.77,103.86,85.22,6608348
88,2014-09-14,104.13,104.18,102.68,102.73,84.3,7261903
89,2014-09-21,102.87,103.27,102.45,102.95,84.48,30665938
90,2014-09-28,103.05,103.61,102.99,103.38,84.83,4496745
91,2014-10-05,103.73,104.38,103.54,103.96,85.46,10478396
92,2014-10-12,103.97,105.39,103.88,105.34,86.6,15856700
93,2014-10-19,105.52,108.88,105.44,106.1,87.22,9397900
94,2014-10-26,106.39,106.42,105.31,105.58,86.79,6447769
95,2014-11-02,105.55,105.79,104.74,105.02,86.33,5347607
96,2014-11-09,104.7,105.18,104.45,105.17,86.6,9303689
97,2014-11-16,105.16,105.16,104.62,105.1,86.55,4680270
98,2014-11-23,105.25,105.25,104.77,105.22,86.65,3233916
99,2014-11-30,105.04,106.2,104.99,106.19,87.44,15937662
100,2014-12-07,106.31,106.37,104.93,105.1,86.69,5910176
101,2014-12-14,105.1,107.02,105.09,107.01,88.27,25258418
102,2014-12-21,106.63,107.28,105.73,106.21,87.61,19649100
103,2014-12-28,106.12,106.3,104.94,105.39,87.06,5198821
104,2015-01-04,105.58,106.66,105.56,106.53,88.0,6681089
105,2015-01-11,106.71,108.47,106.66,107.97,89.19,7748750
106,2015-01-18,108.08,109.9,108.02,109.07,90.1,8348799
107,2015-01-25,109.29,109.66,108.4,109.24,90.24,6223482
108,2015-02-01,109.16,110.59,108.9,110.55,91.32,9369095
109,2015-02-08,109.95,110.4,107.85,107.86,89.25,18074887
110,2015-02-15,108.2,108.21,107.17,107.18,88.69,7278124
111,2015-02-22,107.06,107.21,106.25,106.6,88.21,13727270
112,2015-03-01,106.89,107.95,106.71,107.64,89.07,6362114
113,2015-03-08,107.38,107.41,105.44,105.49,87.43,17353643
114,2015-03-15,105.9,107.06,105.75,106.56,88.31,5236832
115,2015-03-22,106.96,108.48,106.75,108.31,89.76,5551924
116,2015-03-29,108.41,108.84,107.61,108.12,89.61,6040702
117,2015-04-05,108.16,108.85,107.97,108.42,90.0,7851414
118,2015-04-12,108.95,109.04,108.01,108.08,89.72,4586009
119,2015-04-19,108.14,109.12,108.12,108.98,90.46,4865607
120,2015-04-26,108.93,108.96,107.9,108.63,90.17,4072020
121,2015-05-03,108.51,108.62,106.7,106.78,88.77,7578492
122,2015-05-10,106.87,107.04,105.74,106.72,88.72,9843421
123,2015-05-17,106.39,106.8,105.4,106.73,88.73,5449082
124,2015-05-24,106.3,106.42,105.42,106.16,88.26,5612452
125,2015-05-31,106.21,107.19,106.17,106.92,88.89,5157347
126,2015-06-07,106.73,106.81,104.21,104.39,86.92,8329357
127,2015-06-14,104.66,104.99,103.76,104.56,87.07,7315021
128,2015-06-21,105.09,105.78,104.58,105.75,88.06,7583050
129,2015-06-28,105.28,105.32,103.97,104.09,86.67,5323100
130,2015-07-05,104.75,105.4,104.15,104.67,87.29,8763766
131,2015-07-12,105.46,106.31,104.46,104.64,87.27,10725254
132,2015-07-19,104.18,105.17,104.18,105.06,87.62,5576179
133,2015-07-26,104.88,105.85,104.67,105.8,88.23,4206119
134,2015-08-02,106.18,106.52,105.55,106.44,88.77,11501336
135,2015-08-09,106.3,106.7,105.49,106.43,88.9,7212470
136,2015-08-16,106.08,107.22,105.87,106.26,88.75,7392400
137,2015-08-23,106.62,107.71,106.06,107.65,89.92,7097122
138,2015-08-30,108.5,108.76,106.33,106.54,88.99,12925357
139,2015-09-06,106.92,107.08,106.33,106.97,89.49,14835672
140,2015-09-13,106.52,106.71,106.06,106.58,89.16,5651373
141,2015-09-20,106.8,107.21,105.7,107.19,89.67,8574302
142,2015-09-27,106.8,107.54,106.48,106.87,89.4,7308560
143,2015-10-04,107.02,108.97,106.97,108.31,90.75,20484456
144,2015-10-11,108.08,108.08,107.28,107.44,90.02,10723125
145,2015-10-18,107.65,108.51,107.56,108.03,90.51,7394125
146,2015-10-25,108.03,108.2,107.45,107.48,90.05,13896508
