,date,open,high,low,close,adjClose,volume
0,2013-01-06,139.66,146.61,139.54,146.37,118.63,697590692
1,2013-01-13,145.85,147.15,144.98,147.07,119.19,566665912
2,2013-01-20,146.89,148.49,146.2,148.33,120.22,591328804
3,2013-01-27,148.33,150.25,147.98,150.25,121.77,510031412
4,2013-02-03,150.29,151.42,149.51,151.24,122.57,596648616
5,2013-02-10,150.32,151.89,149.43,151.8,123.03,677372500
6,2013-02-17,151.74,152.61,151.39,152.11,123.28,517551100
7,2013-02-24,152.37,153.28,149.94,151.89,123.1,545293816
8,2013-03-03,152.63,152.87,148.73,152.11,123.28,880703700
9,2013-03-10,151.76,155.65,151.52,155.44,125.98,524732188
10,2013-03-17,155.32,156.8,155.13,155.83,126.86,546984500
11,2013-03-24,154.34,155.95,153.59,155.6,126.67,647799500
12,2013-03-31,156.01,156.85,154.35,156.67,127.54,441062316
13,2013-04-07,156.59,157.21,153.77,155.16,126.31,646416820
14,2013-04-14,155.27,159.71,154.75,158.8,129.27,550706900
15,2013-04-21,158.0,158.13,153.55,155.48,126.57,908872408
16,2013-04-28,155.78,159.27,154.75,158.24,128.82,596455400
17,2013-05-05,158.67,161.88,158.1,161.37,131.36,584067600
18,2013-05-12,161.49,163.7,161.42,163.41,133.03,464602100
19,2013-05-19,163.2,167.04,162.82,166.94,135.9,561277208
20,2013-05-26,166.78,169.07,163.94,165.31,134.57,787545500
21,2013-06-02,167.04,167.78,163.13,163.45,133.05,588687100
22,2013-06-09,163.83,165.1,160.25,164.8,134.16,926323300
23,2013-06-16,165.31,165.4,161.3,163.18,132.83,747321304
24,2013-06-23,164.29,165.99,157.47,159.07,130.18,1050353436
25,2013-06-30,157.41,161.82,155.73,160.42,131.28,809331552
26,2013-07-07,161.26,163.08,160.22,163.02,133.41,484451816
27,2013-07-14,163.86,167.93,163.08,167.51,137.09,588605768
28,2013-07-21,167.97,169.27,167.07,169.17,138.44,458478556
29,2013-07-28,169.41,169.86,167.52,169.11,138.39,492143460
30,2013-08-04,168.68,170.97,168.11,170.95,139.9,509005864
31,2013-08-11,170.57,170.96,168.55,169.31,138.56,420460132
32,2013-08-18,168.46,169.9,165.5,165.83,135.71,513028500
33,2013-08-25,165.64,166.83,164.19,166.62,136.36,537627468
34,2013-09-01,166.79,167.3,163.05,163.65,133.93,610569244
35,2013-09-08,165.23,166.98,163.7,166.04,135.88,462611500
36,2013-09-15,166.45,169.56,166.45,169.33,138.57,443889752
37,2013-09-22,171.16,173.6,170.04,170.72,140.39,691656264
